Method, FileNum, DataSet, Time (minutes)
TimingsLog7Zip, 0, 0, 0.012802
TimingsLog7Zip, 1, 1, 0.016928
TimingsLog7Zip, 2, 2, 0.020629
TimingsLog7Zip, 3, 3, 0.027720
TimingsLog7Zip, 4, 4, 0.092750
TimingsLog7Zip, 5, 5, 0.177928
TimingsLog7Zip, 6, 0, 0.015162
TimingsLog7Zip, 7, 1, 0.017902
TimingsLog7Zip, 8, 2, 0.020625
TimingsLog7Zip, 9, 3, 0.026210
TimingsLog7Zip, 10, 4, 0.089475
TimingsLog7Zip, 11, 5, 0.180033
TimingsLog7Zip, 12, 0, 0.015954
TimingsLog7Zip, 13, 1, 0.020203
TimingsLog7Zip, 14, 2, 0.024312
TimingsLog7Zip, 15, 3, 0.032116
TimingsLog7Zip, 16, 4, 0.100660
TimingsLog7Zip, 17, 5, 0.188726
TimingsLog7Zip, 18, 0, 0.016575
TimingsLog7Zip, 19, 1, 0.020625
TimingsLog7Zip, 20, 2, 0.024483
TimingsLog7Zip, 21, 3, 0.032012
TimingsLog7Zip, 22, 4, 0.096267
TimingsLog7Zip, 23, 5, 0.181037
TimingsLog7Zip, 24, 0, 0.016973
TimingsLog7Zip, 25, 1, 0.021560
TimingsLog7Zip, 26, 2, 0.025517
TimingsLog7Zip, 27, 3, 0.033604
TimingsLog7Zip, 28, 4, 0.101279
TimingsLog7Zip, 29, 5, 0.188018
TimingsLog7Zip, 30, 0, 0.017552
TimingsLog7Zip, 31, 1, 0.022027
TimingsLog7Zip, 32, 2, 0.024876
TimingsLog7Zip, 33, 3, 0.032498
TimingsLog7Zip, 34, 4, 0.092984
TimingsLog7Zip, 35, 5, 0.182362
TimingsLog7Zip, 36, 0, 0.018316
TimingsLog7Zip, 37, 1, 0.022587
TimingsLog7Zip, 38, 2, 0.024960
TimingsLog7Zip, 39, 3, 0.031472
TimingsLog7Zip, 40, 4, 0.093229
TimingsLog7Zip, 41, 5, 0.183078
TimingsLog7Zip, 42, 0, 0.019473
TimingsLog7Zip, 43, 1, 0.024106
TimingsLog7Zip, 44, 2, 0.026963
TimingsLog7Zip, 45, 3, 0.034159
TimingsLog7Zip, 46, 4, 0.094535
TimingsLog7Zip, 47, 5, 0.183500
TimingsLog7Zip, 48, 0, 0.020367
TimingsLog7Zip, 49, 1, 0.024186
TimingsLog7Zip, 50, 2, 0.027285
TimingsLog7Zip, 51, 3, 0.033932
TimingsLog7Zip, 52, 4, 0.094516
TimingsLog7Zip, 53, 5, 0.185375
TimingsLog7Zip, 54, 0, 0.021146
TimingsLog7Zip, 55, 1, 0.025452
TimingsLog7Zip, 56, 2, 0.028441
TimingsLog7Zip, 57, 3, 0.035491
TimingsLog7Zip, 58, 4, 0.096429
TimingsLog7Zip, 59, 5, 0.185023
TimingsLog7Zip, 60, 0, 0.022076
TimingsLog7Zip, 61, 1, 0.026350
TimingsLog7Zip, 62, 2, 0.030334
TimingsLog7Zip, 63, 3, 0.038228
TimingsLog7Zip, 64, 4, 0.105807
TimingsLog7Zip, 65, 5, 0.193589
TimingsLog7Zip, 66, 0, 0.022793
TimingsLog7Zip, 67, 1, 0.027107
TimingsLog7Zip, 68, 2, 0.030482
TimingsLog7Zip, 69, 3, 0.037883
TimingsLog7Zip, 70, 4, 0.100551
TimingsLog7Zip, 71, 5, 0.186395
TimingsLog7Zip, 72, 0, 0.023699
TimingsLog7Zip, 73, 1, 0.026746
TimingsLog7Zip, 74, 2, 0.029147
TimingsLog7Zip, 75, 3, 0.035995
TimingsLog7Zip, 76, 4, 0.098129
TimingsLog7Zip, 77, 5, 0.189109
TimingsLog7Zip, 78, 0, 0.024433
TimingsLog7Zip, 79, 1, 0.028252
TimingsLog7Zip, 80, 2, 0.030349
TimingsLog7Zip, 81, 3, 0.036265
TimingsLog7Zip, 82, 4, 0.098371
TimingsLog7Zip, 83, 5, 0.189969
TimingsLog7Zip, 84, 0, 0.025646
TimingsLog7Zip, 85, 1, 0.029063
TimingsLog7Zip, 86, 2, 0.032647
TimingsLog7Zip, 87, 3, 0.039330
TimingsLog7Zip, 88, 4, 0.099842
TimingsLog7Zip, 89, 5, 0.190846
TimingsLog7Zip, 90, 0, 0.026180
TimingsLog7Zip, 91, 1, 0.029661
TimingsLog7Zip, 92, 2, 0.032006
TimingsLog7Zip, 93, 3, 0.038655
TimingsLog7Zip, 94, 4, 0.100368
TimingsLog7Zip, 95, 5, 0.191236
TimingsLog7Zip, 96, 0, 0.028282
TimingsLog7Zip, 97, 1, 0.031963
TimingsLog7Zip, 98, 2, 0.034951
TimingsLog7Zip, 99, 3, 0.041582
TimingsLog7Zip, 100, 4, 0.101376
TimingsLog7Zip, 101, 5, 0.193863
TimingsLog7Zip, 102, 0, 0.028932
TimingsLog7Zip, 103, 1, 0.032808
TimingsLog7Zip, 104, 2, 0.036555
TimingsLog7Zip, 105, 3, 0.043217
TimingsLog7Zip, 106, 4, 0.107480
TimingsLog7Zip, 107, 5, 0.195775
TimingsLog7Zip, 108, 0, 0.030522
TimingsLog7Zip, 109, 1, 0.034407
TimingsLog7Zip, 110, 2, 0.036657
TimingsLog7Zip, 111, 3, 0.044868
TimingsLog7Zip, 112, 4, 0.113670
TimingsLog7Zip, 113, 5, 0.201728
TimingsLog7Zip, 114, 0, 0.030147
TimingsLog7Zip, 115, 1, 0.032596
TimingsLog7Zip, 116, 2, 0.035154
TimingsLog7Zip, 117, 3, 0.041219
TimingsLog7Zip, 118, 4, 0.103692
TimingsLog7Zip, 119, 5, 0.194999
TimingsLog7Zip, 120, 0, 0.029850
TimingsLog7Zip, 121, 1, 0.032445
TimingsLog7Zip, 122, 2, 0.037150
TimingsLog7Zip, 123, 3, 0.040958
TimingsLog7Zip, 124, 4, 0.104986
TimingsLog7Zip, 125, 5, 0.197143
TimingsLog7Zip, 126, 0, 0.030777
TimingsLog7Zip, 127, 1, 0.033713
TimingsLog7Zip, 128, 2, 0.036182
TimingsLog7Zip, 129, 3, 0.041868
TimingsLog7Zip, 130, 4, 0.105837
TimingsLog7Zip, 131, 5, 0.196994
TimingsLog7Zip, 132, 0, 0.033570
TimingsLog7Zip, 133, 1, 0.036267
TimingsLog7Zip, 134, 2, 0.037036
TimingsLog7Zip, 135, 3, 0.043145
TimingsLog7Zip, 136, 4, 0.107078
TimingsLog7Zip, 137, 5, 0.199294
TimingsLog7Zip, 138, 0, 0.032556
TimingsLog7Zip, 139, 1, 0.037783
TimingsLog7Zip, 140, 2, 0.042038
TimingsLog7Zip, 141, 3, 0.049539
TimingsLog7Zip, 142, 4, 0.117063
TimingsLog7Zip, 143, 5, 0.202554
TimingsLog7Zip, 144, 0, 0.033508
TimingsLog7Zip, 145, 1, 0.037491
TimingsLog7Zip, 146, 2, 0.041267
TimingsLog7Zip, 147, 3, 0.048096
TimingsLog7Zip, 148, 4, 0.110860
TimingsLog7Zip, 149, 5, 0.197607
TimingsLog7Zip, 150, 0, 0.034384
TimingsLog7Zip, 151, 1, 0.038480
TimingsLog7Zip, 152, 2, 0.042537
TimingsLog7Zip, 153, 3, 0.050583
TimingsLog7Zip, 154, 4, 0.120044
TimingsLog7Zip, 155, 5, 0.209619
TimingsLog7Zip, 156, 0, 0.035107
TimingsLog7Zip, 157, 1, 0.039596
TimingsLog7Zip, 158, 2, 0.043567
TimingsLog7Zip, 159, 3, 0.051666
TimingsLog7Zip, 160, 4, 0.121349
TimingsLog7Zip, 161, 5, 0.208945
TimingsLog7Zip, 162, 0, 0.035109
TimingsLog7Zip, 163, 1, 0.038589
TimingsLog7Zip, 164, 2, 0.041165
TimingsLog7Zip, 165, 3, 0.046825
TimingsLog7Zip, 166, 4, 0.110237
TimingsLog7Zip, 167, 5, 0.204142
TimingsLog7Zip, 168, 0, 0.036861
TimingsLog7Zip, 169, 1, 0.041752
TimingsLog7Zip, 170, 2, 0.047186
TimingsLog7Zip, 171, 3, 0.055061
TimingsLog7Zip, 172, 4, 0.122174
TimingsLog7Zip, 173, 5, 0.208877
TimingsLog7Zip, 174, 0, 0.037545
TimingsLog7Zip, 175, 1, 0.040071
TimingsLog7Zip, 176, 2, 0.042526
TimingsLog7Zip, 177, 3, 0.049527
TimingsLog7Zip, 178, 4, 0.112777
TimingsLog7Zip, 179, 5, 0.204180
TimingsLog7Zip, 180, 0, 0.038559
TimingsLog7Zip, 181, 1, 0.042677
TimingsLog7Zip, 182, 2, 0.047147
TimingsLog7Zip, 183, 3, 0.055270
TimingsLog7Zip, 184, 4, 0.122990
TimingsLog7Zip, 185, 5, 0.211198
TimingsLog7Zip, 186, 0, 0.039078
TimingsLog7Zip, 187, 1, 0.042480
TimingsLog7Zip, 188, 2, 0.045736
TimingsLog7Zip, 189, 3, 0.052921
TimingsLog7Zip, 190, 4, 0.113605
TimingsLog7Zip, 191, 5, 0.203932
TimingsLog7Zip, 192, 0, 0.039724
TimingsLog7Zip, 193, 1, 0.042927
TimingsLog7Zip, 194, 2, 0.046475
TimingsLog7Zip, 195, 3, 0.051031
TimingsLog7Zip, 196, 4, 0.117106
TimingsLog7Zip, 197, 5, 0.206608
TimingsLog7Zip, 198, 0, 0.041177
TimingsLog7Zip, 199, 1, 0.044946
TimingsLog7Zip, 200, 2, 0.047545
TimingsLog7Zip, 201, 3, 0.054216
TimingsLog7Zip, 202, 4, 0.115364
TimingsLog7Zip, 203, 5, 0.206350
TimingsLog7Zip, 204, 0, 0.041624
TimingsLog7Zip, 205, 1, 0.046315
TimingsLog7Zip, 206, 2, 0.050027
TimingsLog7Zip, 207, 3, 0.057836
TimingsLog7Zip, 208, 4, 0.122714
TimingsLog7Zip, 209, 5, 0.208556
TimingsLog7Zip, 210, 0, 0.043252
TimingsLog7Zip, 211, 1, 0.045850
TimingsLog7Zip, 212, 2, 0.049001
TimingsLog7Zip, 213, 3, 0.055178
TimingsLog7Zip, 214, 4, 0.120470
TimingsLog7Zip, 215, 5, 0.208497
TimingsLog7Zip, 216, 0, 0.043520
TimingsLog7Zip, 217, 1, 0.047084
TimingsLog7Zip, 218, 2, 0.048314
TimingsLog7Zip, 219, 3, 0.054677
TimingsLog7Zip, 220, 4, 0.117315
TimingsLog7Zip, 221, 5, 0.210005
TimingsLog7Zip, 222, 0, 0.044394
TimingsLog7Zip, 223, 1, 0.048348
TimingsLog7Zip, 224, 2, 0.053114
TimingsLog7Zip, 225, 3, 0.060823
TimingsLog7Zip, 226, 4, 0.125861
TimingsLog7Zip, 227, 5, 0.211822
TimingsLog7Zip, 228, 0, 0.044855
TimingsLog7Zip, 229, 1, 0.047725
TimingsLog7Zip, 230, 2, 0.050682
TimingsLog7Zip, 231, 3, 0.055912
TimingsLog7Zip, 232, 4, 0.119316
TimingsLog7Zip, 233, 5, 0.213554
TimingsLog7Zip, 234, 0, 0.046286
TimingsLog7Zip, 235, 1, 0.050183
TimingsLog7Zip, 236, 2, 0.054224
TimingsLog7Zip, 237, 3, 0.060646
TimingsLog7Zip, 238, 4, 0.121613
TimingsLog7Zip, 239, 5, 0.210852
TimingsLog7Zip, 240, 0, 0.047087
TimingsLog7Zip, 241, 1, 0.051000
TimingsLog7Zip, 242, 2, 0.053081
TimingsLog7Zip, 243, 3, 0.058269
TimingsLog7Zip, 244, 4, 0.121907
TimingsLog7Zip, 245, 5, 0.215504
TimingsLog7Zip, 246, 0, 0.048131
TimingsLog7Zip, 247, 1, 0.052738
TimingsLog7Zip, 248, 2, 0.056000
TimingsLog7Zip, 249, 3, 0.062314
TimingsLog7Zip, 250, 4, 0.122595
TimingsLog7Zip, 251, 5, 0.211664
TimingsLog7Zip, 252, 0, 0.049564
TimingsLog7Zip, 253, 1, 0.053413
TimingsLog7Zip, 254, 2, 0.057617
TimingsLog7Zip, 255, 3, 0.065136
TimingsLog7Zip, 256, 4, 0.128248
TimingsLog7Zip, 257, 5, 0.215366
TimingsLog7Zip, 258, 0, 0.050497
TimingsLog7Zip, 259, 1, 0.055009
TimingsLog7Zip, 260, 2, 0.060617
TimingsLog7Zip, 261, 3, 0.067079
TimingsLog7Zip, 262, 4, 0.133549
TimingsLog7Zip, 263, 5, 0.218496
TimingsLog7Zip, 264, 0, 0.052079
TimingsLog7Zip, 265, 1, 0.054048
TimingsLog7Zip, 266, 2, 0.057193
TimingsLog7Zip, 267, 3, 0.062344
TimingsLog7Zip, 268, 4, 0.128642
TimingsLog7Zip, 269, 5, 0.216899
TimingsLog7Zip, 270, 0, 0.052903
TimingsLog7Zip, 271, 1, 0.055984
TimingsLog7Zip, 272, 2, 0.058302
TimingsLog7Zip, 273, 3, 0.064026
TimingsLog7Zip, 274, 4, 0.126183
TimingsLog7Zip, 275, 5, 0.217725
TimingsLog7Zip, 276, 0, 0.053382
TimingsLog7Zip, 277, 1, 0.056688
TimingsLog7Zip, 278, 2, 0.059163
TimingsLog7Zip, 279, 3, 0.065042
TimingsLog7Zip, 280, 4, 0.126926
TimingsLog7Zip, 281, 5, 0.217957
TimingsLog7Zip, 282, 0, 0.054131
TimingsLog7Zip, 283, 1, 0.056826
TimingsLog7Zip, 284, 2, 0.058938
TimingsLog7Zip, 285, 3, 0.065055
TimingsLog7Zip, 286, 4, 0.128221
TimingsLog7Zip, 287, 5, 0.220356
TimingsLog7Zip, 288, 0, 0.055960
TimingsLog7Zip, 289, 1, 0.057849
TimingsLog7Zip, 290, 2, 0.059841
TimingsLog7Zip, 291, 3, 0.065707
TimingsLog7Zip, 292, 4, 0.128911
TimingsLog7Zip, 293, 5, 0.221141
TimingsLog7Zip, 294, 0, 0.056296
TimingsLog7Zip, 295, 1, 0.059581
TimingsLog7Zip, 296, 2, 0.062187
TimingsLog7Zip, 297, 3, 0.067803
TimingsLog7Zip, 298, 4, 0.130119
TimingsLog7Zip, 299, 5, 0.221353
TimingsLogBatch, 0, 0, 0.384931
TimingsLogBatch, 1, 1, 0.427202
TimingsLogBatch, 2, 2, 0.476714
TimingsLogBatch, 3, 3, 0.586322
TimingsLogBatch, 4, 4, 1.666042
TimingsLogBatch, 5, 5, 2.877510
TimingsLogBatch, 6, 0, 0.422895
TimingsLogBatch, 7, 1, 0.480607
TimingsLogBatch, 8, 2, 0.508736
TimingsLogBatch, 9, 3, 0.574213
TimingsLogBatch, 10, 4, 1.319977
TimingsLogBatch, 11, 5, 2.436205
TimingsLogBatch, 12, 0, 0.443719
TimingsLogBatch, 13, 1, 0.491544
TimingsLogBatch, 14, 2, 0.531037
TimingsLogBatch, 15, 3, 0.618875
TimingsLogBatch, 16, 4, 1.601180
TimingsLogBatch, 17, 5, 3.045248
TimingsLogBatch, 18, 0, 0.443922
TimingsLogBatch, 19, 1, 0.493405
TimingsLogBatch, 20, 2, 0.530711
TimingsLogBatch, 21, 3, 0.616149
TimingsLogBatch, 22, 4, 1.545164
TimingsLogBatch, 23, 5, 2.926719
TimingsLogBatch, 24, 0, 0.449795
TimingsLogBatch, 25, 1, 0.497024
TimingsLogBatch, 26, 2, 0.534719
TimingsLogBatch, 27, 3, 0.623387
TimingsLogBatch, 28, 4, 1.593474
TimingsLogBatch, 29, 5, 3.021677
TimingsLogBatch, 30, 0, 0.443631
TimingsLogBatch, 31, 1, 0.496205
TimingsLogBatch, 32, 2, 0.527454
TimingsLogBatch, 33, 3, 0.605237
TimingsLogBatch, 34, 4, 1.450274
TimingsLogBatch, 35, 5, 2.733157
TimingsLogBatch, 36, 0, 0.444525
TimingsLogBatch, 37, 1, 0.496971
TimingsLogBatch, 38, 2, 0.528852
TimingsLogBatch, 39, 3, 0.599706
TimingsLogBatch, 40, 4, 1.399870
TimingsLogBatch, 41, 5, 2.606328
TimingsLogBatch, 42, 0, 0.456229
TimingsLogBatch, 43, 1, 0.505735
TimingsLogBatch, 44, 2, 0.539153
TimingsLogBatch, 45, 3, 0.618945
TimingsLogBatch, 46, 4, 1.478915
TimingsLogBatch, 47, 5, 2.774321
TimingsLogBatch, 48, 0, 0.439825
