Method, FileNum, DataSet, Time (minutes)
TimingsLog7Zip, 0, 0, 0.012820
TimingsLog7Zip, 1, 1, 0.016583
TimingsLog7Zip, 2, 2, 0.020647
TimingsLog7Zip, 3, 3, 0.028923
TimingsLog7Zip, 4, 4, 0.097919
TimingsLog7Zip, 5, 5, 0.183964
TimingsLog7Zip, 6, 0, 0.014687
TimingsLog7Zip, 7, 1, 0.018558
TimingsLog7Zip, 8, 2, 0.022104
TimingsLog7Zip, 9, 3, 0.030349
TimingsLog7Zip, 10, 4, 0.097945
TimingsLog7Zip, 11, 5, 0.184058
TimingsLog7Zip, 12, 0, 0.015501
TimingsLog7Zip, 13, 1, 0.019589
TimingsLog7Zip, 14, 2, 0.023386
TimingsLog7Zip, 15, 3, 0.031424
TimingsLog7Zip, 16, 4, 0.098614
TimingsLog7Zip, 17, 5, 0.184227
TimingsLog7Zip, 18, 0, 0.016079
TimingsLog7Zip, 19, 1, 0.020144
TimingsLog7Zip, 20, 2, 0.023524
TimingsLog7Zip, 21, 3, 0.031101
TimingsLog7Zip, 22, 4, 0.093501
TimingsLog7Zip, 23, 5, 0.180049
TimingsLog7Zip, 24, 0, 0.016906
TimingsLog7Zip, 25, 1, 0.021227
TimingsLog7Zip, 26, 2, 0.025021
TimingsLog7Zip, 27, 3, 0.032643
TimingsLog7Zip, 28, 4, 0.101900
TimingsLog7Zip, 29, 5, 0.188301
TimingsLog7Zip, 30, 0, 0.017106
TimingsLog7Zip, 31, 1, 0.021728
TimingsLog7Zip, 32, 2, 0.025285
TimingsLog7Zip, 33, 3, 0.032675
TimingsLog7Zip, 34, 4, 0.096478
TimingsLog7Zip, 35, 5, 0.182440
TimingsLog7Zip, 36, 0, 0.018226
TimingsLog7Zip, 37, 1, 0.022185
TimingsLog7Zip, 38, 2, 0.025704
TimingsLog7Zip, 39, 3, 0.033515
TimingsLog7Zip, 40, 4, 0.096483
TimingsLog7Zip, 41, 5, 0.182551
TimingsLog7Zip, 42, 0, 0.018714
TimingsLog7Zip, 43, 1, 0.023487
TimingsLog7Zip, 44, 2, 0.027044
TimingsLog7Zip, 45, 3, 0.034851
TimingsLog7Zip, 46, 4, 0.103223
TimingsLog7Zip, 47, 5, 0.189098
TimingsLog7Zip, 48, 0, 0.019399
TimingsLog7Zip, 49, 1, 0.024304
TimingsLog7Zip, 50, 2, 0.028752
TimingsLog7Zip, 51, 3, 0.036928
TimingsLog7Zip, 52, 4, 0.104412
TimingsLog7Zip, 53, 5, 0.190800
TimingsLog7Zip, 54, 0, 0.019804
TimingsLog7Zip, 55, 1, 0.024949
TimingsLog7Zip, 56, 2, 0.028558
TimingsLog7Zip, 57, 3, 0.036782
TimingsLog7Zip, 58, 4, 0.103821
TimingsLog7Zip, 59, 5, 0.190844
TimingsLog7Zip, 60, 0, 0.021392
TimingsLog7Zip, 61, 1, 0.025753
TimingsLog7Zip, 62, 2, 0.029312
TimingsLog7Zip, 63, 3, 0.035780
TimingsLog7Zip, 64, 4, 0.096870
TimingsLog7Zip, 65, 5, 0.184746
TimingsLog7Zip, 66, 0, 0.022239
TimingsLog7Zip, 67, 1, 0.026447
TimingsLog7Zip, 68, 2, 0.030301
TimingsLog7Zip, 69, 3, 0.037968
TimingsLog7Zip, 70, 4, 0.106671
TimingsLog7Zip, 71, 5, 0.196185
TimingsLog7Zip, 72, 0, 0.024422
TimingsLog7Zip, 73, 1, 0.027416
TimingsLog7Zip, 74, 2, 0.031095
TimingsLog7Zip, 75, 3, 0.038168
TimingsLog7Zip, 76, 4, 0.102460
TimingsLog7Zip, 77, 5, 0.185760
TimingsLog7Zip, 78, 0, 0.024042
TimingsLog7Zip, 79, 1, 0.028179
TimingsLog7Zip, 80, 2, 0.031722
TimingsLog7Zip, 81, 3, 0.039912
TimingsLog7Zip, 82, 4, 0.107581
TimingsLog7Zip, 83, 5, 0.195657
TimingsLog7Zip, 84, 0, 0.025110
TimingsLog7Zip, 85, 1, 0.029030
TimingsLog7Zip, 86, 2, 0.032781
TimingsLog7Zip, 87, 3, 0.040910
TimingsLog7Zip, 88, 4, 0.108649
TimingsLog7Zip, 89, 5, 0.195697
TimingsLog7Zip, 90, 0, 0.025208
TimingsLog7Zip, 91, 1, 0.028759
TimingsLog7Zip, 92, 2, 0.031090
TimingsLog7Zip, 93, 3, 0.037185
TimingsLog7Zip, 94, 4, 0.100259
TimingsLog7Zip, 95, 5, 0.191126
TimingsLog7Zip, 96, 0, 0.026340
TimingsLog7Zip, 97, 1, 0.030390
TimingsLog7Zip, 98, 2, 0.034482
TimingsLog7Zip, 99, 3, 0.042037
TimingsLog7Zip, 100, 4, 0.107893
TimingsLog7Zip, 101, 5, 0.193326
TimingsLog7Zip, 102, 0, 0.027056
TimingsLog7Zip, 103, 1, 0.031377
TimingsLog7Zip, 104, 2, 0.035542
TimingsLog7Zip, 105, 3, 0.043263
TimingsLog7Zip, 106, 4, 0.112017
TimingsLog7Zip, 107, 5, 0.199740
TimingsLog7Zip, 108, 0, 0.027780
TimingsLog7Zip, 109, 1, 0.032101
TimingsLog7Zip, 110, 2, 0.035670
TimingsLog7Zip, 111, 3, 0.042707
TimingsLog7Zip, 112, 4, 0.105405
TimingsLog7Zip, 113, 5, 0.194090
TimingsLog7Zip, 114, 0, 0.028528
TimingsLog7Zip, 115, 1, 0.032101
TimingsLog7Zip, 116, 2, 0.035001
TimingsLog7Zip, 117, 3, 0.041807
TimingsLog7Zip, 118, 4, 0.103855
TimingsLog7Zip, 119, 5, 0.195981
TimingsLog7Zip, 120, 0, 0.029450
TimingsLog7Zip, 121, 1, 0.033792
TimingsLog7Zip, 122, 2, 0.037557
TimingsLog7Zip, 123, 3, 0.044647
TimingsLog7Zip, 124, 4, 0.109433
TimingsLog7Zip, 125, 5, 0.194407
TimingsLog7Zip, 126, 0, 0.030344
TimingsLog7Zip, 127, 1, 0.034637
TimingsLog7Zip, 128, 2, 0.038253
TimingsLog7Zip, 129, 3, 0.046598
TimingsLog7Zip, 130, 4, 0.114943
TimingsLog7Zip, 131, 5, 0.202969
TimingsLog7Zip, 132, 0, 0.031207
TimingsLog7Zip, 133, 1, 0.035548
TimingsLog7Zip, 134, 2, 0.038853
TimingsLog7Zip, 135, 3, 0.047149
TimingsLog7Zip, 136, 4, 0.116033
TimingsLog7Zip, 137, 5, 0.203497
TimingsLog7Zip, 138, 0, 0.031920
TimingsLog7Zip, 139, 1, 0.036367
TimingsLog7Zip, 140, 2, 0.040043
TimingsLog7Zip, 141, 3, 0.045563
TimingsLog7Zip, 142, 4, 0.107005
TimingsLog7Zip, 143, 5, 0.196518
TimingsLog7Zip, 144, 0, 0.032924
TimingsLog7Zip, 145, 1, 0.036864
TimingsLog7Zip, 146, 2, 0.040861
TimingsLog7Zip, 147, 3, 0.048010
TimingsLog7Zip, 148, 4, 0.111888
TimingsLog7Zip, 149, 5, 0.199300
TimingsLog7Zip, 150, 0, 0.033565
TimingsLog7Zip, 151, 1, 0.036685
TimingsLog7Zip, 152, 2, 0.039331
TimingsLog7Zip, 153, 3, 0.047648
TimingsLog7Zip, 154, 4, 0.108790
TimingsLog7Zip, 155, 5, 0.202523
TimingsLog7Zip, 156, 0, 0.034368
TimingsLog7Zip, 157, 1, 0.040039
TimingsLog7Zip, 158, 2, 0.043565
TimingsLog7Zip, 159, 3, 0.051053
TimingsLog7Zip, 160, 4, 0.113837
TimingsLog7Zip, 161, 5, 0.202885
TimingsLog7Zip, 162, 0, 0.035613
TimingsLog7Zip, 163, 1, 0.039801
TimingsLog7Zip, 164, 2, 0.043464
TimingsLog7Zip, 165, 3, 0.051555
TimingsLog7Zip, 166, 4, 0.121061
TimingsLog7Zip, 167, 5, 0.210158
TimingsLog7Zip, 168, 0, 0.035382
TimingsLog7Zip, 169, 1, 0.040139
TimingsLog7Zip, 170, 2, 0.043991
TimingsLog7Zip, 171, 3, 0.051357
TimingsLog7Zip, 172, 4, 0.116656
TimingsLog7Zip, 173, 5, 0.203069
TimingsLog7Zip, 174, 0, 0.037483
TimingsLog7Zip, 175, 1, 0.041165
TimingsLog7Zip, 176, 2, 0.045615
TimingsLog7Zip, 177, 3, 0.054375
TimingsLog7Zip, 178, 4, 0.124887
TimingsLog7Zip, 179, 5, 0.211849
TimingsLog7Zip, 180, 0, 0.037150
TimingsLog7Zip, 181, 1, 0.041591
TimingsLog7Zip, 182, 2, 0.045830
TimingsLog7Zip, 183, 3, 0.053578
TimingsLog7Zip, 184, 4, 0.120643
TimingsLog7Zip, 185, 5, 0.207666
TimingsLog7Zip, 186, 0, 0.038295
TimingsLog7Zip, 187, 1, 0.043740
TimingsLog7Zip, 188, 2, 0.047171
TimingsLog7Zip, 189, 3, 0.056884
TimingsLog7Zip, 190, 4, 0.123713
TimingsLog7Zip, 191, 5, 0.215969
TimingsLog7Zip, 192, 0, 0.039166
TimingsLog7Zip, 193, 1, 0.043623
TimingsLog7Zip, 194, 2, 0.047530
TimingsLog7Zip, 195, 3, 0.055257
TimingsLog7Zip, 196, 4, 0.124347
TimingsLog7Zip, 197, 5, 0.211790
TimingsLog7Zip, 198, 0, 0.040103
TimingsLog7Zip, 199, 1, 0.044693
TimingsLog7Zip, 200, 2, 0.047846
TimingsLog7Zip, 201, 3, 0.056558
TimingsLog7Zip, 202, 4, 0.123818
TimingsLog7Zip, 203, 5, 0.213552
TimingsLog7Zip, 204, 0, 0.040950
TimingsLog7Zip, 205, 1, 0.045441
TimingsLog7Zip, 206, 2, 0.048809
TimingsLog7Zip, 207, 3, 0.056486
TimingsLog7Zip, 208, 4, 0.121782
TimingsLog7Zip, 209, 5, 0.208244
TimingsLog7Zip, 210, 0, 0.044980
TimingsLog7Zip, 211, 1, 0.049540
TimingsLog7Zip, 212, 2, 0.050318
TimingsLog7Zip, 213, 3, 0.058429
TimingsLog7Zip, 214, 4, 0.125469
TimingsLog7Zip, 215, 5, 0.212603
TimingsLog7Zip, 216, 0, 0.042563
TimingsLog7Zip, 217, 1, 0.047224
TimingsLog7Zip, 218, 2, 0.050983
TimingsLog7Zip, 219, 3, 0.058804
TimingsLog7Zip, 220, 4, 0.120643
TimingsLog7Zip, 221, 5, 0.207793
